internal_person_id,internal_event_id,inmate_number,full_name,prefix,first_name,middle_name,last_name,suffix,dob,ssn,ssn_hash,ssn_bigrams,fingerprint_id,dmv_number,dmv_state,additional_id_number,additional_id_name,race,ethnicity,sex,hair_color,eye_color,height,weight,street_address,city,state,postal_code,county,country,birth_place,booking_number,jail_entry_date,jail_exit_date,homeless,mental_health,veteran,special_initiative,bond_amount,arresting_agency,bed,cell,block,building,annex,floor,classification,detention,location_type,relocation_date,case_number,source_name,created_date,updated_date
759091,79746946,3977119,,,Robert,,Fox,,1979-12-08 22:31:53,890-63-0264,,,117344,512111,FL,,,other,hispanic,F,,,,,,,,,,,,,2017-01-31 19:15:00,2017-09-27 08:16:56,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.637763,2017-11-14 20:43:37.637768
6905325,96829722,7674378,,,Devin,,Meyers,,1993-02-13 12:18:49,025-95-7560,,,702109,199556,FL,,,pacisland,nonhispanic,F,,,,,,,,,,,,,2017-03-18 14:36:53,2017-10-23 15:22:05,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.638304,2017-11-14 20:43:37.638309
6154514,31350816,949632,,,Joshua,,Rogers,,,1953-07-06 17:49:22,607-90-2153,,,558526,FL,,,other,nonhispanic,F,,,,,,,,,,,,,2017-02-19 17:59:51,2017-11-07 02:36:35,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.638840,2017-11-14 20:43:37.638844
27712,42173898,3143977,,,Sherry,,Ramirez,,,1989-05-05 01:07:18,502-12-5338,,,694202,FL,,,pacisland,nonhispanic,F,,,,,,,,,,,,,2016-12-25 08:22:58,2017-10-12 00:23:28,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.639344,2017-11-14 20:43:37.639346
548569,7410607,2612565,,,John,,Barnett,,1959-05-21 08:34:19,632-57-4228,,,476875,853759,FL,,,white,hispanic,F,,,,,,,,,,,,,2016-12-13 21:26:51,2017-09-14 06:35:13,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.639709,2017-11-14 20:43:37.639714
19465,6370467,2861667,,,Debra,,Hines,,,1990-04-14 01:21:57,629-47-7817,,,380198,FL,,,amindian,nonhispanic,F,,,,,,,,,,,,,2017-04-02 05:03:27,2017-08-22 06:13:36,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.640365,2017-11-14 20:43:37.640370
479184,70599544,7210146,,,April,,Chapman,,1990-09-08 08:11:56,068-90-6754,,,47602,492337,FL,,,other,nonhispanic,F,,,,,,,,,,,,,2016-12-05 00:57:11,2017-10-24 13:59:23,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.640869,2017-11-14 20:43:37.640872
7300766,93107270,937704,,,Jared,,Williams,,,1971-04-14 06:24:17,722-86-9259,,,662544,FL,,,white,nonhispanic,F,,,,,,,,,,,,,2017-06-19 22:02:21,2017-09-18 11:10:59,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.641367,2017-11-14 20:43:37.641371
7103097,48433868,2547223,,,Sherry,,Ramirez,,,1989-05-05 01:07:18,502-12-5338,,,43960,FL,,,other,nonhispanic,F,,,,,,,,,,,,,2016-11-22 10:55:41,2017-08-26 09:04:55,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.641891,2017-11-14 20:43:37.641896
4850625,46651727,1854777,,,Jared,,Williams,,,1971-04-14 06:24:17,722-86-9259,,,771492,FL,,,amindian,hispanic,F,,,,,,,,,,,,,2017-02-03 19:24:40,2017-09-08 16:38:34,,,,,,,,,,,,,,,,,,,2017-11-14 20:43:37.642560,2017-11-14 20:43:37.642565
