internal_person_id,internal_event_id,full_name,prefix,first_name,middle_name,last_name,suffix,name_data_quality,dob,ssn,ssn_hash,ssn_bigrams,dmv_number,dmv_state,additional_id_number,additional_id_name,race,ethnicity,sex,street_address,city,state,postal_code,county,country,address_data_quality,veteran_status,disabling_condition,project_start_date,project_exit_date,program_name,program_type,federal_program,destination,household_id,household_relationship,move_in_date,living_situation_type,living_situation_length,living_situation_start_date,times_on_street,months_homeless,client_location_start_date,client_location_end_date,client_location,source_name,created_date,updated_date
8384760,97836769,,,Sharon,,Jones,,1991-03-18 19:40:07,589-21-0523,,,184323,890213,FL,,,amindian,nonhispanic,F,,,,,,,,N,N,2017-03-14 07:42:40,2017-09-18 03:16:18,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,90201,1,2017-11-04,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2015-04-23 02:19:20,THREE TIMES,32,2017-06-26 15:54:13,2017-11-06 17:54:42,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.181597,2017-11-14 21:12:48.181599
1802752,15700843,,,Allen,,Kim,,,1951-10-25 08:08:55,145-06-0059,,,612954,FL,,,pacisland,hispanic,F,,,,,,,,N,Y,2017-03-18 13:16:08,2017-09-16 19:08:46,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,35749,1,2017-11-05,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2014-04-20 21:17:12,THREE TIMES,32,2017-06-15 11:32:29,2017-11-09 21:59:51,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.182083,2017-11-14 21:12:48.182085
960445,86959261,,,Tammy,,Farmer,,,1995-08-08 15:39:18,566-36-8702,,,162883,FL,,,amindian,nonhispanic,F,,,,,,,,N,N,2017-07-07 21:08:00,2017-10-07 21:09:38,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,61414,1,2017-11-10,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2015-01-06 23:27:30,THREE TIMES,32,2017-01-05 04:23:52,2017-09-03 09:55:29,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.182555,2017-11-14 21:12:48.182557
7500034,73159069,,,Gail,,Parrish,,,1971-12-13 13:36:21,788-90-6637,,,257574,FL,,,amindian,hispanic,F,,,,,,,,N,N,2017-08-08 11:56:51,2017-10-19 18:51:48,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,72105,1,2017-11-06,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2014-04-13 02:18:37,THREE TIMES,32,2017-08-07 03:31:23,2017-11-11 01:05:41,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.183028,2017-11-14 21:12:48.183031
1278337,44234501,,,Christopher,,Stokes,,1996-08-22 01:10:18,064-22-5745,,,297605,834596,FL,,,white,hispanic,F,,,,,,,,N,Y,2017-07-04 01:41:59,2017-08-27 23:10:42,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,86410,1,2017-11-13,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2015-09-07 02:04:37,THREE TIMES,32,2017-03-19 21:37:45,2017-09-09 10:49:50,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.183496,2017-11-14 21:12:48.183498
9602646,40011838,,,Cynthia,,Davis,,1998-09-09 10:07:42,357-77-0597,,,132649,146749,FL,,,pacisland,hispanic,F,,,,,,,,N,N,2016-12-23 13:43:48,2017-10-31 17:13:42,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,79909,1,2017-11-10,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2015-07-22 12:34:34,THREE TIMES,32,2016-12-30 16:07:52,2017-08-17 23:14:22,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.183982,2017-11-14 21:12:48.183985
1888029,5995256,,,Allen,,Kim,,,1951-10-25 08:08:55,145-06-0059,,,469387,FL,,,asian,nonhispanic,F,,,,,,,,N,N,2017-06-25 08:42:02,2017-10-17 19:40:01,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,54787,1,2017-11-04,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2014-10-31 05:36:07,THREE TIMES,32,2017-03-26 04:35:07,2017-11-06 18:20:30,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.184456,2017-11-14 21:12:48.184458
4033607,36960529,,,Holly,,Donovan,,,1945-05-06 11:58:45,626-30-1588,,,109778,FL,,,other,hispanic,F,,,,,,,,Y,N,2017-05-21 04:53:15,2017-09-14 15:11:06,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,11493,1,2017-11-11,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2014-01-12 15:11:24,THREE TIMES,32,2017-06-01 05:14:49,2017-09-16 20:44:15,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.184931,2017-11-14 21:12:48.184933
4288833,19380449,,,Allen,,Kim,,,1951-10-25 08:08:55,145-06-0059,,,543738,FL,,,other,hispanic,F,,,,,,,,Y,N,2016-12-07 08:01:33,2017-11-08 00:18:49,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,44701,1,2017-11-02,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2015-07-15 00:48:00,THREE TIMES,32,2017-02-17 10:45:09,2017-11-04 10:57:24,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.185399,2017-11-14 21:12:48.185401
2985591,16731483,,,Gail,,Parrish,,,1971-12-13 13:36:21,788-90-6637,,,694429,FL,,,other,hispanic,F,,,,,,,,N,Y,2016-11-19 05:50:18,2017-09-07 12:22:49,SAFE HAVEN SHELTER,EMERGENCY SHELTER,RHSP,8,25838,1,2017-11-07,CLIENT DOESNT NOW,"90 DAYS OR MORE, BUT LESS THAN ONE YEAR",2014-09-10 09:27:01,THREE TIMES,32,2017-08-12 12:53:19,2017-10-28 03:49:03,LOCATION,HOMELESS ALLIANCE OF DOVE COUNTY,2017-11-14 21:12:48.185867,2017-11-14 21:12:48.185869
