,"matched_id","internal_person_id","internal_event_id","full_name","prefix","first_name","middle_name","last_name","suffix","name_data_quality","dob","ssn","ssn_hash","ssn_bigrams","dmv_number","dmv_state","additional_id_number","additional_id_name","race","ethnicity","sex","street_address","city","state","postal_code","county","country","address_data_quality","veteran_status","disabling_condition","client_location_start_date","client_location_end_date","program_name","program_type","federal_program","destination","household_id","household_relationship","move_in_date","living_situation_type","living_situation_length","living_situation_start_date","times_on_street","months_homeless","client_location_start_date.1","client_location_end_date.1","client_location","source_name","created_date","updated_date"
0,8246167,8246167,72217729,,,"William",,"Hawkins",,,"3/23/81 20:13","875-23-9469",,,299328,"FL",,,"other","nonhispanic","F",,,,,,,,"N","Y","12/17/16 13:25","3/16/17 12:58","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,20819,1,"12/4/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","9/20/14 10:22","THREE TIMES",32,"12/17/16 13:25","3/16/17 12:58","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.3","20:44.3"
1,4704965,4704965,28742614,,,"William",,"Hawkins",,,"3/23/81 20:13","875-23-9469",,,508420,"FL",,,"asian","hispanic","F",,,,,,,,"N","N","4/19/17 11:08","11/21/17 12:12","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,84768,1,"12/7/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","12/2/14 7:51","THREE TIMES",32,"4/19/17 11:08","11/21/17 12:12","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.3","20:44.3"
2,8446345,8446345,74602371,,,"Wesley",,"Robinson",,,"1/24/83 21:06","015-58-8722",,,334834,"FL",,,"other","nonhispanic","F",,,,,,,,"N","N","3/6/17 16:59","3/17/17 7:09","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,89828,1,"12/3/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","10/4/14 5:43","THREE TIMES",32,"3/6/17 16:59","3/17/17 7:09","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
3,2295849,2295849,90559663,,,"Trevor",,"Cole",,,"3/17/90 2:11","523-59-8240",,,925816,"FL",,,"amindian","hispanic","F",,,,,,,,"N","N","5/6/17 14:03","5/6/17 23:34","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,48996,1,"12/2/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","9/24/14 22:30","THREE TIMES",32,"5/6/17 14:03","5/6/17 23:34","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
4,2639374,2639374,11349444,,,"Trevor",,"Cole",,,"3/17/90 2:11","523-59-8240",,,805861,"FL",,,"other","nonhispanic","F",,,,,,,,"N","N","5/7/17 3:15","11/7/17 6:01","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,83138,1,"12/7/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","3/26/14 21:24","THREE TIMES",32,"5/7/17 3:15","11/7/17 6:01","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
5,1114775,1114775,99935891,,,"Tracy",,"Larson",,,"7/2/81 12:22","860-32-1948",,,915937,"FL",,,"amindian","nonhispanic","F",,,,,,,,"N","N","3/28/17 5:31","11/20/17 13:54","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,26178,1,"12/3/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","1/5/15 10:16","THREE TIMES",32,"3/28/17 5:31","11/20/17 13:54","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
6,61970,61970,53687620,,,"Tina",,"Fisher",,,"5/31/78 10:14","135-74-7687",,,849766,"FL",,,"white","hispanic","F",,,,,,,,"N","N","4/9/17 12:43","12/4/17 20:48","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,93806,1,"12/2/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","5/23/15 0:13","THREE TIMES",32,"4/9/17 12:43","12/4/17 20:48","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
7,8028938,8028938,7440661,,,"Tara",,"Alvarez",,,"10/8/93 1:27","555-42-6706",,,34025,"FL",,,"pacisland","nonhispanic","F",,,,,,,,"N","N","1/18/17 8:35","9/14/17 18:36","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,70008,1,"12/4/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","10/13/15 19:24","THREE TIMES",32,"1/18/17 8:35","9/14/17 18:36","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
8,4665220,4665220,25987134,,,"Tammy",,"Marks",,,"11/4/89 2:22","421-71-8735",,,520706,"FL",,,"other","nonhispanic","F",,,,,,,,"N","N","6/2/17 22:08","6/29/17 10:00","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,51756,1,"12/6/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","3/8/15 16:41","THREE TIMES",32,"6/2/17 22:08","6/29/17 10:00","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
9,4588426,4588426,40169109,,,"Tammy",,"Marks",,,"11/4/89 2:22","421-71-8735",,,567642,"FL",,,"pacisland","hispanic","F",,,,,,,,"N","N","7/22/17 6:46","10/25/17 9:12","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,69173,1,"12/4/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","7/14/14 20:02","THREE TIMES",32,"7/22/17 6:46","10/25/17 9:12","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
10,386013,386013,90167472,,,"Sydney",,"King",,,"2/4/50 17:28","082-32-1508",,,5845,"FL",,,"black","hispanic","F",,,,,,,,"N","N","4/23/17 18:40","11/21/17 23:14","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,26857,1,"12/2/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","6/5/15 19:29","THREE TIMES",32,"4/23/17 18:40","11/21/17 23:14","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.3","20:44.3"
11,5330985,5330985,31639369,,,"Sydney",,"Wright",,,"3/11/52 7:33","699-52-1363",,,902250,"FL",,,"other","nonhispanic","F",,,,,,,,"Y","N","3/21/17 13:16","9/26/17 1:36","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,63022,1,"12/5/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","1/14/14 15:18","THREE TIMES",32,"3/21/17 13:16","9/26/17 1:36","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
12,6247044,6247044,16310844,,,"Sierra",,"Frye",,,"11/16/48 14:56","353-80-3836",,,509688,"FL",,,"asian","nonhispanic","F",,,,,,,,"Y","N","6/29/17 6:46","10/31/17 4:49","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,89911,1,"12/3/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","9/27/15 12:17","THREE TIMES",32,"6/29/17 6:46","10/31/17 4:49","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
13,6254601,6254601,11287086,,,"Shaun",,"Hernandez",,,"8/12/85 18:08","373-71-9992",,,521920,"FL",,,"asian","hispanic","F",,,,,,,,"N","N","8/28/17 22:48","9/19/17 10:58","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,91586,1,"12/4/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","8/24/15 13:48","THREE TIMES",32,"8/28/17 22:48","9/19/17 10:58","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
14,6292365,6292365,4510475,,,"Sarah",,"Brown",,,"1/19/63 20:27","595-24-0011",,,821414,"FL",,,"other","nonhispanic","F",,,,,,,,"N","N","7/10/17 21:19","9/24/17 1:46","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,88399,1,"12/7/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","12/5/15 5:24","THREE TIMES",32,"7/10/17 21:19","9/24/17 1:46","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
15,6736265,6736265,95021535,,,"Sandy",,"Sloan",,,"4/27/74 12:22","728-29-7099",,,333116,"FL",,,"amindian","hispanic","F",,,,,,,,"N","Y","7/4/17 18:01","12/4/17 4:56","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,75711,1,"12/1/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","6/5/15 13:34","THREE TIMES",32,"7/4/17 18:01","12/4/17 4:56","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.3","20:44.3"
16,673213,673213,23622023,,,"Samantha",,"Snyder",,,"8/20/44 7:41","555-37-2395",,,12771,"FL",,,"asian","nonhispanic","F",,,,,,,,"N","N","4/14/17 19:17","5/9/17 17:59","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,72639,1,"12/4/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","1/20/14 20:58","THREE TIMES",32,"4/14/17 19:17","5/9/17 17:59","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
17,1208781,1208781,34498406,,,"Samantha",,"Snyder",,,"8/20/44 7:41","555-37-2395",,,103181,"FL",,,"asian","hispanic","F",,,,,,,,"N","N","7/5/17 17:29","10/3/17 0:49","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,4013,1,"12/5/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","6/9/14 4:26","THREE TIMES",32,"7/5/17 17:29","10/3/17 0:49","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
18,5592539,5592539,163167,,,"Ryan",,"Kelly",,,"2/21/63 18:44","818-15-0637",,,296943,"FL",,,"amindian","hispanic","F",,,,,,,,"N","N","2/14/17 14:20","10/16/17 23:32","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,81809,1,"12/4/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","8/7/14 12:54","THREE TIMES",32,"2/14/17 14:20","10/16/17 23:32","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
19,7401671,7401671,47159559,,,"Robert",,"Knight",,,"2/15/53 7:04","226-13-6501",,,435407,"FL",,,"pacisland","nonhispanic","F",,,,,,,,"N","N","8/9/17 23:15","10/13/17 16:59","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,57260,1,"12/2/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","8/8/14 0:06","THREE TIMES",32,"8/9/17 23:15","10/13/17 16:59","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
20,764539,764539,2661239,,,"Rebecca",,"Adams",,,"8/5/48 12:06","750-88-4244",,,195683,"FL",,,"amindian","hispanic","F",,,,,,,,"N","N","6/16/17 15:41","9/24/17 11:32","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,89400,1,"12/1/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","7/21/14 4:57","THREE TIMES",32,"6/16/17 15:41","9/24/17 11:32","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
21,5370457,5370457,28023135,,,"Randy",,"Foster",,,"10/20/46 6:45","657-71-1877",,,132040,"FL",,,"asian","nonhispanic","F",,,,,,,,"N","N","12/17/16 8:17","11/9/17 19:13","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,6308,1,"12/2/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","1/17/14 1:12","THREE TIMES",32,"12/17/16 8:17","11/9/17 19:13","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
22,241445,241445,59884202,,,"Rachel",,"Chavez",,,"6/24/91 19:22","383-11-7022",,,756674,"FL",,,"asian","nonhispanic","F",,,,,,,,"N","N","2/6/17 11:41","12/1/17 13:27","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,29184,1,"12/7/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","1/11/15 11:21","THREE TIMES",32,"2/6/17 11:41","12/1/17 13:27","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
23,8815632,8815632,81865028,,,"Patricia",,"Guerra",,,"10/15/51 5:20","676-58-3747",,,277788,"FL",,,"amindian","hispanic","F",,,,,,,,"N","N","2/9/17 8:04","11/7/17 22:10","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,36739,1,"12/2/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","1/10/14 22:21","THREE TIMES",32,"2/9/17 8:04","11/7/17 22:10","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
24,6664881,6664881,6307307,,,"Nicole",,"White",,,"10/4/88 19:00","575-92-6813",,,977558,"FL",,,"pacisland","hispanic","F",,,,,,,,"N","N","7/17/17 0:12","10/22/17 19:32","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,7807,1,"12/1/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","4/10/14 19:03","THREE TIMES",32,"7/17/17 0:12","10/22/17 19:32","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
25,4245732,4245732,40111349,,,"Michael",,"Hood",,,"5/20/73 14:32","739-32-7713",,,11140,"FL",,,"other","nonhispanic","F",,,,,,,,"N","N","12/14/16 21:57","11/30/17 1:31","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,48622,1,"12/5/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","6/7/14 18:01","THREE TIMES",32,"12/14/16 21:57","11/30/17 1:31","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.3","20:44.3"
26,9668103,9668103,46011883,,,"Megan",,"Park",,,"8/14/87 2:02","601-16-5591",,,424394,"FL",,,"white","hispanic","F",,,,,,,,"N","N","3/27/17 9:31","9/30/17 0:52","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,30394,1,"12/3/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","10/21/15 23:01","THREE TIMES",32,"3/27/17 9:31","9/30/17 0:52","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
27,4107082,4107082,21524425,,,"Mark",,"Elliott",,,"7/7/70 0:48","299-32-0520",,,13946,"FL",,,"white","hispanic","F",,,,,,,,"Y","N","3/26/17 0:47","11/12/17 23:24","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,4050,1,"12/7/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","8/11/14 7:16","THREE TIMES",32,"3/26/17 0:47","11/12/17 23:24","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
28,1756533,1756533,72683642,,,"Margaret",,"Burch",,,"11/25/62 23:16","084-65-0902",,,640695,"FL",,,"pacisland","nonhispanic","F",,,,,,,,"Y","N","1/30/17 10:30","10/21/17 21:53","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,80101,1,"12/5/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","7/20/14 11:00","THREE TIMES",32,"1/30/17 10:30","10/21/17 21:53","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
29,8952578,8952578,15682469,,,"Louis",,"Anderson",,,"6/29/71 6:19","528-15-5804",,,693139,"FL",,,"other","hispanic","F",,,,,,,,"N","Y","2/18/17 20:34","10/9/17 13:40","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,93843,1,"12/3/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","6/19/15 21:15","THREE TIMES",32,"2/18/17 20:34","10/9/17 13:40","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
30,6375313,6375313,37155108,,,"Lindsay",,"Yang",,,"12/23/70 4:17","565-13-7099",,,100006,"FL",,,"other","hispanic","F",,,,,,,,"Y","N","3/16/17 3:31","3/26/17 13:59","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,84373,1,"12/3/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","7/19/14 6:16","THREE TIMES",32,"3/16/17 3:31","3/26/17 13:59","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.3","20:44.3"
31,9124475,9124475,53118703,,,"Lindsay",,"Yang",,,"12/23/70 4:17","565-13-7099",,,764733,"FL",,,"black","hispanic","F",,,,,,,,"N","N","3/30/17 6:29","10/19/17 15:00","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,64755,1,"12/5/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","12/24/13 19:35","THREE TIMES",32,"3/30/17 6:29","10/19/17 15:00","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
32,8501903,8501903,52630626,,,"Kimberly",,"Henderson",,,"7/21/73 12:13","398-37-0036",,,437266,"FL",,,"pacisland","nonhispanic","F",,,,,,,,"N","N","4/27/17 13:00","11/27/17 0:36","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,19319,1,"12/1/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","12/8/13 22:07","THREE TIMES",32,"4/27/17 13:00","11/27/17 0:36","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
33,2087296,2087296,76093105,,,"Kathleen",,"Matthews",,,"12/24/49 6:34","194-42-4335",,,423408,"FL",,,"white","nonhispanic","F",,,,,,,,"N","N","3/20/17 5:46","5/19/17 21:25","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,20496,1,"12/3/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","11/4/14 6:25","THREE TIMES",32,"3/20/17 5:46","5/19/17 21:25","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
34,2977430,2977430,22506051,,,"Kara",,"Duran",,,"6/23/63 22:08","048-88-4170",,,832270,"FL",,,"pacisland","hispanic","F",,,,,,,,"N","N","8/7/17 18:33","11/15/17 15:32","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,14510,1,"12/1/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","4/9/15 11:58","THREE TIMES",32,"8/7/17 18:33","11/15/17 15:32","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
35,1354042,1354042,1137086,,,"Joseph",,"Ortiz",,,"3/1/66 12:54","518-96-5523",,,208894,"FL",,,"pacisland","nonhispanic","F",,,,,,,,"N","N","8/4/17 5:47","11/25/17 14:12","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,21992,1,"12/3/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","4/21/15 6:20","THREE TIMES",32,"8/4/17 5:47","11/25/17 14:12","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
36,21384,21384,79005650,,,"Jonathan",,"Wright",,,"12/27/56 2:10","566-11-6579",,,912565,"FL",,,"other","nonhispanic","F",,,,,,,,"N","Y","5/8/17 4:55","11/26/17 7:39","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,82330,1,"12/6/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","10/26/14 20:33","THREE TIMES",32,"5/8/17 4:55","11/26/17 7:39","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
37,6176593,6176593,96569046,,,"John",,"Burns",,,"4/4/56 11:44","279-73-1666",,,295081,"FL",,,"amindian","hispanic","F",,,,,,,,"N","N","12/8/16 10:38","10/26/17 6:47","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,69801,1,"12/4/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","9/15/14 0:52","THREE TIMES",32,"12/8/16 10:38","10/26/17 6:47","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
38,2513841,2513841,21789213,,,"Jessica",,"Valdez",,,"5/13/65 22:26","284-67-0126",,,189907,"FL",,,"asian","nonhispanic","F",,,,,,,,"N","N","7/5/17 16:40","11/20/17 20:28","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,45990,1,"12/6/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","10/17/15 2:17","THREE TIMES",32,"7/5/17 16:40","11/20/17 20:28","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
39,7201862,7201862,87861514,,,"Jesse",,"Gonzales",,,"9/19/95 20:40","877-29-2162",,,99636,"FL",,,"black","hispanic","F",,,,,,,,"N","N","2/3/17 6:57","9/12/17 22:21","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,65390,1,"12/1/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","10/26/14 13:44","THREE TIMES",32,"2/3/17 6:57","9/12/17 22:21","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
40,5211916,5211916,8770703,,,"Jason",,"Berg",,,"3/13/52 10:38","216-63-3859",,,101979,"FL",,,"other","nonhispanic","F",,,,,,,,"N","Y","2/9/17 14:25","9/14/17 2:15","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,50614,1,"12/5/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","12/27/13 4:08","THREE TIMES",32,"2/9/17 14:25","9/14/17 2:15","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.3","20:44.3"
41,7774716,7774716,55515019,,,"Jason",,"Hamilton",,,"1/16/98 7:53","762-50-6152",,,898824,"FL",,,"other","hispanic","F",,,,,,,,"N","N","1/23/17 11:44","12/1/17 2:05","SAFE HAVEN SHELTER","EMERGENCY SHELTER","RHSP",8,73922,1,"12/5/17","CLIENT DOESNT NOW","90 DAYS OR MORE, BUT LESS THAN ONE YEAR","8/30/15 23:44","THREE TIMES",32,"1/23/17 11:44","12/1/17 2:05","LOCATION","HOMELESS ALLIANCE OF DOVE COUNTY","20:44.4","20:44.4"
