"matched_id","internal_person_id","internal_event_id","inmate_number","full_name","prefix","first_name","middle_name","last_name","suffix","dob","ssn","ssn_hash","ssn_bigrams","fingerprint_id","dmv_number","dmv_state","additional_id_number","additional_id_name","race","ethnicity","sex","hair_color","eye_color","height","weight","street_address","city","state","postal_code","county","country","birth_place","booking_number","jail_entry_date","jail_exit_date","homeless","mental_health","veteran","special_initiative","bond_amount","arresting_agency","bed","cell","block","building","annex","floor","classification","detention","location_type","relocation_date","case_number","source_name","created_date","updated_date","inserted_ts","updated_ts"
1,7366570,34730895,4350812,,,"Aaron",,"Winters",,1982-07-06,"471-91-4327",,,181398,727005,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
2,6373820,67763655,411424,,,"Aaron",,"Briggs",,1982-07-06,"824-54-8361",,,571739,946851,"FL",,,"asian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
3,7337187,68767028,2478654,,,"Alexander",,"Decker",,1982-07-07,"748-96-1458",,,331794,662603,"FL",,,"white","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
4,2788268,49340996,4937940,,,"Alexis",,"Johnson",,1982-07-08,"848-76-4894",,,189341,386088,"FL",,,"other","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
5,1590844,42395702,2875150,,,"Alicia",,"Bell",,1982-07-09,"368-44-3915",,,741912,243299,"FL",,,"pacisland","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
6,6929307,92874962,7058119,,,"Amy",,"Clay",,1982-07-10,"133-30-1004",,,809605,536856,"FL",,,"pacisland","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
7,7979420,53384863,3276344,,,"Angela",,"Cantu",,1982-07-11,"725-49-0972",,,112270,290294,"FL",,,"white","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
8,9522295,23590297,6803107,,,"Anthony",,"Lawson",,1982-07-12,"494-17-7979",,,656842,312965,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
9,4694585,39622801,3696648,,,"Arthur",,"Park",,1982-07-13,"475-50-7564",,,156117,605010,"FL",,,"asian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
10,2634200,53415475,1824373,,,"Ashley",,"Compton",,1982-07-14,"085-77-6425",,,956642,721357,"FL",,,"pacisland","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
