internal_person_id,internal_event_id,inmate_number,full_name,prefix,first_name,middle_name,last_name,suffix,dob,ssn,ssn_hash,ssn_bigrams,fingerprint_id,dmv_number,dmv_state,additional_id_number,additional_id_name,race,ethnicity,sex,hair_color,eye_color,height,weight,street_address,city,state,postal_code,county,country,birth_place,booking_number,jail_entry_date,jail_exit_date,homeless,mental_health,veteran,special_initiative,bond_amount,arresting_agency,bed,cell,block,building,annex,floor,classification,detention,location_type,relocation_date,case_number,source_name,created_date,updated_date
4842645,81580964,8654881,,,Randall,,Richardson,,1987-10-02T10:08:59-05,229-95-5642,,,282886,11219,FL,,,I,NOT HISPANIC,F,,,,,,,,,,,,,2017-04-28T03:52:06-05,2017-10-31T00:04:42-05,N,N,N,N,,,,,,,,,,,,,,,2017-11-15T21:31:04.785729,2017-11-15T21:31:04.785733
6982426,76047962,1194286,,,Sarah,,Tucker,,1998-01-25T21:46:24-05,165-78-6287,,,448027,892224,FL,,,I,HISPANIC,F,,,,,,,,,,,,,2017-04-15T06:58:25-05,2017-11-07T16:53:20-05,N,Y,N,N,,,,,,,,,,,,,,,2017-11-15T21:31:04.786058,2017-11-15T21:31:04.786061
1592338,3852705,1964645,,,Gregory,,Thompson,,1959-09-28T16:35:11-05,782-55-0806,,,468341,719843,FL,,,B,NOT HISPANIC,F,,,,,,,,,,,,,2017-07-16T14:08:26-05,2017-10-04T22:09:01-05,N,N,N,N,,,,,,,,,,,,,,,2017-11-15T21:31:04.786366,2017-11-15T21:31:04.786368
4227104,94929717,563929,,,Tiffany,,Henry,,1977-02-16T21:43:28-05,410-56-6663,,,757407,526729,FL,,,B,HISPANIC,F,,,,,,,,,,,,,2017-02-14T16:43:33-05,2017-11-14T06:31:47-05,N,N,N,N,,,,,,,,,,,,,,,2017-11-15T21:31:04.786669,2017-11-15T21:31:04.786671
482408,27785030,1394345,,,Rita,,Rivera,,1943-11-17T17:45:53-05,606-99-0695,,,343707,643423,FL,,,W,HISPANIC,F,,,,,,,,,,,,,2017-06-26T17:00:16-05,2017-10-11T02:10:43-05,N,N,N,N,,,,,,,,,,,,,,,2017-11-15T21:31:04.786967,2017-11-15T21:31:04.786968
6869475,58945643,2703535,,,Victor,,Cohen,,1954-02-24T14:15:25-05,799-47-3502,,,6691,947143,FL,,,I,HISPANIC,F,,,,,,,,,,,,,2017-07-30T18:00:50-05,2017-09-06T22:05:12-05,N,N,N,N,,,,,,,,,,,,,,,2017-11-15T21:31:04.787264,2017-11-15T21:31:04.787266
1174569,55291712,2040574,,,Victor,,Cohen,,1954-02-24T14:15:25-05,799-47-3502,,,697148,135272,FL,,,B,HISPANIC,F,,,,,,,,,,,,,2017-05-05T22:45:37-05,2017-08-18T17:29:52-05,N,N,N,N,,,,,,,,,,,,,,,2017-11-15T21:31:04.787560,2017-11-15T21:31:04.787562
3623506,46914050,1090234,,,Wendy,,Morrison,,1969-10-16T15:18:05-05,750-16-8011,,,81862,129204,FL,,,W,HISPANIC,F,,,,,,,,,,,,,2017-01-31T17:15:37-05,2017-11-01T21:44:21-05,Y,N,N,Y,,,,,,,,,,,,,,,2017-11-15T21:31:04.787923,2017-11-15T21:31:04.787926
1492834,91054987,1210345,,,Joshua,,Bryan,,1990-02-27T00:04:10-05,278-82-3250,,,290395,662210,FL,,,W,NOT HISPANIC,F,,,,,,,,,,,,,2017-05-03T16:51:06-05,2017-08-22T01:30:22-05,Y,N,N,N,,,,,,,,,,,,,,,2017-11-15T21:31:04.788253,2017-11-15T21:31:04.788255
8041215,66777090,4229043,,,Joshua,,Bryan,,1990-02-27T00:04:10-05,278-82-3250,,,772295,468878,FL,,,O,HISPANIC,F,,,,,,,,,,,,,2017-06-14T16:04:33-05,2017-09-21T19:07:32-05,N,N,N,N,,,,,,,,,,,,,,,2017-11-15T21:31:04.788562,2017-11-15T21:31:04.788564
