internal_person_id|internal_event_id|full_name|prefix|first_name|middle_name|last_name|suffix|name_data_quality|dob|ssn|ssn_hash|ssn_bigrams|dmv_number|dmv_state|additional_id_number|additional_id_name|race|ethnicity|sex|street_address|city|state|postal_code|county|country|address_data_quality|veteran_status|disabling_condition|project_start_date|project_exit_date|program_name|program_type|federal_program|destination|household_id|household_relationship|move_in_date|living_situation_type|living_situation_length|living_situation_start_date|times_on_street|months_homeless|client_location_start_date|client_location_end_date|client_location|source_name|created_date|updated_date
6880485|52615768|||Julie||Campbell|||1987-12-26|054707306|||263443|FL|||R|NOT HISPANIC|F||||||||DATA NOT COLLECTED|DATA NOT COLLECTED|2017-10-03|2018-01-19|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|82721|SELF|2018-04-08|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2014-07-04|FIVE TIMES|10|2017-04-16|2018-03-05|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.101589|2018-04-13 16:38:03.101592
7430409|90164500|||Tony||Bowers|||1993-01-11|300882522|||647639|FL|||W|NOT HISPANIC|F||||||||CLIENT REFUSED|NO|2017-11-18|2018-02-20|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|89071|SELF|2018-04-06|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2015-08-26|FIVE TIMES|10|2017-04-19|2018-02-28|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.084780|2018-04-13 16:38:03.084784
867713|87667824|||John||Lowe|||1955-12-28|741832301|||242464|FL|||O|NOT HISPANIC|F||||||||YES|CLIENT DOESN'T KNOW|2017-11-04|2018-03-31|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|68953|SELF|2018-04-09|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2015-04-29|FIVE TIMES|10|2017-04-25|2018-02-23|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.057598|2018-04-13 16:38:03.057601
589415|77612255|||Brandon||Robinson|||1949-12-16|676650578|||818776|FL|||R|HISPANIC|F||||||||YES|CLIENT DOESN'T KNOW|2017-05-11|2018-02-28|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|25931|SELF|2018-04-11|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2014-09-21|FIVE TIMES|10|2017-04-28|2018-04-07|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.120462|2018-04-13 16:38:03.120465
5275375|45808869|||Carolyn||Baker|||1971-04-10|604988620|||688186|FL|||H|HISPANIC|F||||||||YES|NO|2017-05-04|2018-02-03|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|51462|SELF|2018-04-11|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2014-12-25|FIVE TIMES|10|2017-04-29|2018-04-08|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.096941|2018-04-13 16:38:03.096944
1560051|3295988|||Angel||Lynn|||1979-09-22|353806028|||966223|FL|||P|NOT HISPANIC|F||||||||CLIENT DOESN'T KNOW|YES|2017-05-03|2018-04-10|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|45465|SELF|2018-04-01|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2016-02-27|FIVE TIMES|10|2017-05-02|2018-02-21|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.063252|2018-04-13 16:38:03.063255
1505145|97814395|||Amber||Frank|||1988-03-13|474706245|||32746|FL|||N|HISPANIC|F||||||||CLIENT DOESN'T KNOW|CLIENT DOESN'T KNOW|2017-11-29|2018-02-18|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|56041|SELF|2018-04-11|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2015-02-22|FIVE TIMES|10|2017-05-02|2018-01-28|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.085735|2018-04-13 16:38:03.085738
3956404|22195278|||Brittany||Gentry|||2000-02-27|304582490|||824554|FL|||H|HISPANIC|F||||||||NO|YES|2017-09-26|2018-03-05|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|53757|SELF|2018-04-01|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2014-12-22|FIVE TIMES|10|2017-05-16|2017-10-05|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.075397|2018-04-13 16:38:03.075401
8914952|65484377|||Mark||Quinn|||1976-09-05|437594861|||373268|FL|||R|NOT HISPANIC|F||||||||DATA NOT COLLECTED|CLIENT REFUSED|2017-05-08|2018-02-28|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|50942|SELF|2018-04-03|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2015-11-15|FIVE TIMES|10|2017-05-16|2018-04-07|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.079122|2018-04-13 16:38:03.079125
5239365|97786076|||William||Meyers|||1979-11-28|261494262|||674391|FL|||N|NOT HISPANIC|F||||||||DATA NOT COLLECTED|YES|2017-08-22|2018-01-15|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|645|SELF|2018-04-11|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2014-05-02|FIVE TIMES|10|2017-05-18|2017-10-13|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.104408|2018-04-13 16:38:03.104411
9625156|91542435|||Michelle||Irwin|||1988-01-29|212890662|||984013|FL|||H|HISPANIC|F||||||||NO|YES|2017-08-04|2018-03-14|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|5289|SELF|2018-04-03|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2016-03-28|FIVE TIMES|10|2017-05-18|2018-03-29|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.105350|2018-04-13 16:38:03.105353
9760436|2485432|||Thomas||Maynard|||1990-08-25|054271210|||15755|FL|||O|HISPANIC|F||||||||YES|YES|2017-09-14|2018-02-10|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|54300|SELF|2018-04-09|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2015-09-09|FIVE TIMES|10|2017-05-18|2018-03-24|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.108200|2018-04-13 16:38:03.108203
4710159|72937644|||Carrie||Weeks|||1986-12-07|730905739|||569284|FL|||H|NOT HISPANIC|F||||||||CLIENT REFUSED|DATA NOT COLLECTED|2017-12-17|2018-02-20|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|38677|SELF|2018-04-06|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2014-09-07|FIVE TIMES|10|2017-05-22|2018-01-29|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.065146|2018-04-13 16:38:03.065150
3518112|56184792|||Troy||Schmitt|||1967-11-22|188630801|||401842|FL|||A|HISPANIC|F||||||||DATA NOT COLLECTED|NO|2017-11-19|2018-04-02|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|49529|SELF|2018-04-08|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2016-01-03|FIVE TIMES|10|2017-05-30|2018-03-02|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.096002|2018-04-13 16:38:03.096005
837189|17523742|||Elizabeth||Rodriguez|||1975-08-08|305518216|||51235|FL|||I|NOT HISPANIC|F||||||||CLIENT REFUSED|YES|2017-09-09|2018-01-24|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|51769|SELF|2018-04-05|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2014-05-17|FIVE TIMES|10|2017-06-04|2017-09-28|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.100664|2018-04-13 16:38:03.100667
9036643|71255610|||Ann||Beasley|||1981-05-22|552380732|||262774|FL|||I|HISPANIC|F||||||||CLIENT DOESN'T KNOW|CLIENT REFUSED|2018-01-05|2018-02-24|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|32704|SELF|2018-04-01|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2014-07-08|FIVE TIMES|10|2017-06-10|2018-04-04|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.066066|2018-04-13 16:38:03.066070
4887409|99788359|||Kevin||Christensen|||1960-07-24|006314125|||36825|FL|||D|HISPANIC|F||||||||DATA NOT COLLECTED|CLIENT DOESN'T KNOW|2017-10-14|2018-03-05|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|23263|SELF|2018-04-04|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2015-05-20|FIVE TIMES|10|2017-06-11|2018-03-30|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.060437|2018-04-13 16:38:03.060441
2179144|15112958|||Erika||Byrd|||1997-03-17|693374163|||383302|FL|||D|HISPANIC|F||||||||NO|NO|2017-11-20|2018-02-13|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|15282|SELF|2018-04-09|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2015-11-25|FIVE TIMES|10|2017-06-11|2017-07-01|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.064201|2018-04-13 16:38:03.064204
9981827|23399203|||Christina||Adkins|||1945-05-26|463435693|||335837|FL|||D|HISPANIC|F||||||||DATA NOT COLLECTED|YES|2017-09-18|2018-03-05|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|99956|SELF|2018-04-06|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2014-04-18|FIVE TIMES|10|2017-06-11|2017-10-27|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.073503|2018-04-13 16:38:03.073506
4744533|66422977|||Karen||Woods|||1945-06-08|411767807|||854031|FL|||R|NOT HISPANIC|F||||||||NO|CLIENT REFUSED|2017-08-07|2018-02-13|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|17360|SELF|2018-04-10|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2015-02-17|FIVE TIMES|10|2017-06-15|2017-08-02|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.050145|2018-04-13 16:38:03.050148
3601560|17637467|||Michelle||Brown|||1993-03-08|239575059|||66822|FL|||P|NOT HISPANIC|F||||||||CLIENT REFUSED|DATA NOT COLLECTED|2017-12-15|2018-04-05|SAFE HAVEN SHELTER|EMERGENCY SHELTER|RHSP|DATA NOT COLLECTED|60667|SELF|2018-04-05|OTHER|91 DAYS OR MORE, BUT LESS THAN ONE YEAR|2016-02-22|FIVE TIMES|10|2017-06-19|2018-03-21|LOCATION|HOMELESS ALLIANCE OF DOVE COUNTY|2018-04-13 16:38:03.074450|2018-04-13 16:38:03.074453
