"internal_person_id"|"internal_event_id"|"inmate_number"|"full_name"|"prefix"|"first_name"|"middle_name"|"last_name"|"suffix"|"dob"|"ssn"|"ssn_hash"|"ssn_bigrams"|"fingerprint_id"|"dmv_number"|"dmv_state"|"additional_id_number"|"additional_id_name"|"race"|"ethnicity"|"sex"|"hair_color"|"eye_color"|"height"|"weight"|"street_address"|"city"|"state"|"postal_code"|"county"|"country"|"birth_place"|"booking_number"|"jail_entry_date"|"jail_exit_date"|"homeless"|"mental_health"|"veteran"|"special_initiative"|"bond_amount"|"arresting_agency"|"bed"|"cell"|"block"|"building"|"annex"|"floor"|"classification"|"detention"|"location_type"|"relocation_date"|"case_number"|"source_name"|"created_date"|"updated_date"
"9021705"|"78113094"|"2260398"|""|""|"Terri"|""|"Willis"|""|"1974-07-17"|"172-34-6993"|""|""|"596288"|"858469"|"FL"|""|""|"D"|"INMATE DOESN'T KNOW"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-05T08:43:53-00"|"2018-02-12T15:47:21-00"|""|""|"Y"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03 19:45:21.368960"|"2018-03-03 19:45:21.368963"
"3048238"|"21424719"|"76162"|""|""|"Roy"|""|"Mata"|""|"1968-09-24"|"799-26-9088"|""|""|"918135"|"963647"|"FL"|""|""|"A"|"DATA NOT COLLECTED"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-05T15:11:41-00"|"2018-01-06T15:59:40-00"|""|"Y"|"Y"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03 19:45:21.382757"|"2018-03-03 19:45:21.382760"
"1474187"|"46645644"|"5497860"|""|""|"Kathryn"|""|"Gallegos"|""|"1952-09-17"|"099-31-8984"|""|""|"471384"|"712755"|"FL"|""|""|"P"|"HISPANIC"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-09T03:49:24-00"|"2017-12-29T15:13:40-00"|"Y"|"N"|"Y"|"Y"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03 19:45:21.365026"|"2018-03-03 19:45:21.365029"
"1635422"|"31899810"|"1313377"|""|""|"Hannah"|""|"Thomas"|""|"1966-03-31"|"764-45-2091"|""|""|"556014"|"336772"|"FL"|""|""|"O"|"DATA NOT COLLECTED"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-09T13:43:23-00"|"2017-06-20T15:04:52-00"|""|""|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03 19:45:21.354420"|"2018-03-03 19:45:21.354423"
"723374"|"41739020"|"3356906"|""|""|"Alexis"|""|"Bryan"|""|"1971-10-07"|"665-11-0240"|""|""|"815775"|"968326"|"FL"|""|""|"B"|"DATA NOT COLLECTED"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-15T20:57:09-00"|"2018-01-03T17:57:36-00"|"N"|""|"Y"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03 19:45:21.352864"|"2018-03-03 19:45:21.352867"
"8189766"|"4370712"|"4686984"|""|""|"Michael"|""|"Fox"|""|"1981-12-07"|"667-65-8580"|""|""|"401960"|"97594"|"FL"|""|""|"I"|"DATA NOT COLLECTED"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-16T00:14:56-00"|"2018-03-01T13:31:15-00"|""|"Y"|""|"Y"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03 19:45:21.377804"|"2018-03-03 19:45:21.377807"
"6051368"|"17204799"|"4411414"|""|""|"David"|""|"Murphy"|""|"1958-04-23"|"236-75-3881"|""|""|"58042"|"215516"|"FL"|""|""|"I"|"DATA NOT COLLECTED"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-19T12:17:32-00"|"2017-07-26T05:42:46-00"|"Y"|""|"Y"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03"|"2018-03-03 19:45:21.359429"
"8522931"|"93917434"|"8020933"|""|""|"Miranda"|""|"Chan"|""|"1987-07-15"|"823-45-8887"|""|""|"847037"|"298706"|"FL"|""|""|"H"|"INMATE REFUSED"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-22T03:11:42-00"|"2017-04-17T07:57:20-00"|""|""|""|"Y"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03 19:45:21.384713"|"2018-03-03 19:45:21.384716"
"1551757"|"25817060"|"9425141"|""|""|"Ebony"|""|"Blair"|""|"1950-04-30"|"358-46-9974"|""|""|"98505"|"595256"|"FL"|""|""|"A"|"HISPANIC"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-22T16:25:17-00"|"2018-02-04T03:06:17-00"|"N"|"N"|"Y"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03 19:45:21.395062"|"2018-03-03 19:45:21.395065"
"8091181"|"46757418"|"3882618"|""|""|"Kathryn"|""|"Irwin"|""|"1962-04-25"|"082-29-3746"|""|""|"628807"|"428150"|"FL"|""|""|"R"|"INMATE REFUSED"|"F"|""|""|""|""|""|""|""|""|""|""|""|""|"2017-03-24T14:48:27-00"|"2017-06-07T17:50:55-00"|""|""|"Y"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018-03-03 19:45:21.350396"|"2018-03-03 19:45:21.350410"
