matched_id,hmis_id,booking_id,first_name,last_name,cumu_homeless_days,cumu_jail_days,total_contact,homeless_contact,jail_contact,last_hmis_contact,last_jail_contact
129,4107082,,Mark,Elliott,231,0,0,0,0,2017-47-26,
131,4245732,,Michael,Hood,350,0,0,0,0,2016-57-14,
133,8815632,,Patricia,Guerra,271,0,0,0,0,2017-04-09,
134,241445,,Rachel,Chavez,298,0,0,0,0,2017-41-06,
135,5370457,,Randy,Foster,327,0,0,0,0,2016-17-17,
9,,39622801,Arthur,Park,0,107,2,1,1,,2017-44-30
140,6736265,,Sandy,Sloan,152,0,0,0,0,2017-01-04,
13,,58061187,Brandi,Johnson,0,333,2,1,1,,2016-19-24
16,,63817706,Brenda,Levine,0,89,2,1,1,,2017-23-30
18,,11724592,Brian,Marshall,0,167,2,1,1,,2017-35-20
19,,73591031,Brianna,Le,0,241,2,1,1,,2017-06-09
20,,27943235,Brittany,Parker,0,86,2,1,1,,2017-53-23
21,,3591968,Carlos,Watson,0,3,2,1,1,,2017-54-05
22,,29510825,Charles,Drake,0,1,2,1,1,,2017-48-02
23,,71790382,Chris,Martinez,0,332,2,1,1,,2016-45-30
24,,48100058,Christina,Benjamin,0,182,2,1,1,,2017-02-21
25,,91918946,Christine,Moses,0,4,2,1,1,,2017-49-11
26,,98063634,Colleen,Friedman,0,190,2,1,1,,2017-53-25
153,4704965,,William,Hawkins,216,0,0,0,0,2017-08-19,
151,2639374,,Trevor,Cole,184,0,0,0,0,2017-15-07,
29,,87181611,Daniel,Bell,0,200,2,1,1,,2017-45-13
150,1114775,,Tracy,Larson,237,0,0,0,0,2017-31-28,
31,,1361916,Denise,Jacobson,0,232,2,1,1,,2017-16-15
33,,68041353,Diamond,Chambers,0,297,2,1,1,,2017-44-20
38,,62564366,Jacob,Ortiz,0,91,2,1,1,,2017-51-03
42,,85188325,Jennifer,Rose,0,307,2,1,1,,2017-16-24
43,,27032257,Jennifer,Tucker,0,97,2,1,1,,2017-58-14
45,3375348,77600754,John,Thompson,124,116,2,1,1,2017-56-07,2017-01-17
49,,99041462,Julia,Howard,0,222,2,1,1,,2017-55-19
52,9616066,41285137,Krystal,Pugh,0,213,2,1,1,2017-36-17,2017-13-20
59,,89738179,Mark,Hughes,0,123,2,1,1,,2017-48-23
61,,44736191,Matthew,Kline,0,178,2,1,1,,2017-54-06
62,"8297108,4276363",39766906,Megan,Melendez,16,215,2,1,1,2017-13-13,2017-06-29
63,7453039,69449003,Melinda,Walker,103,260,2,1,1,2017-24-26,2017-42-19
65,8218771,35427556,Monica,Lucas,1,3,2,1,1,2017-11-10,2017-20-18
66,9842853,69625574,Nicole,Andrews,3,0,2,1,1,2017-52-06,2017-15-24
68,5628696,4066006,Paul,Price,368,0,2,1,1,2016-07-22,2017-14-27
69,,54581810,Paul,Johnson,0,153,2,1,1,,2017-25-13
70,6689066,"72738815,89219254",Phillip,Delgado,305,397,4,2,2,2017-57-15,2017-29-16
71,,93076248,Ricardo,Garrett,0,74,2,1,1,,2017-21-05
72,5319422,21045787,Roger,Lopez,11,11,2,1,1,2017-27-01,2017-52-05
73,,39846104,Scott,Schmidt,0,144,2,1,1,,2017-38-01
74,,50489565,Sean,Reeves,0,191,2,1,1,,2017-05-10
76,,416445,Stephanie,Oliver,0,227,2,1,1,,2017-41-04
77,,41879399,Stephanie,Holt,0,195,2,1,1,,2017-56-19
79,,12756831,Tammy,Soto,0,339,2,1,1,,2016-55-26
80,5737383,90851384,Terri,White,3,13,2,1,1,2017-54-01,2017-28-01
82,2500507,"88218401,43666385",Theresa,Cruz,1,369,4,2,2,2017-16-26,2017-29-17
83,,6308629,Theresa,James,0,1,2,1,1,,2017-12-10
84,"7631339,5611067",13986480,Timothy,Ramsey,0,0,2,1,1,2017-13-29,2017-42-18
85,,82367084,Tina,Moore,0,224,2,1,1,,2017-58-10
86,,68645553,Todd,Henderson,0,99,2,1,1,,2017-36-15
146,386013,,Sydney,King,212,0,0,0,0,2017-40-23,
96,631719,,Brenda,Kim,103,0,0,0,0,2017-57-10,
101,1338235,,Cody,Clements,90,0,0,0,0,2017-32-04,
108,7360459,,Douglas,Benitez,200,0,0,0,0,2017-36-12,
149,61970,,Tina,Fisher,239,0,0,0,0,2017-43-09,
116,7774716,,Jason,Hamilton,311,0,0,0,0,2017-44-23,
119,2513841,,Jessica,Valdez,138,0,0,0,0,2017-40-05,
121,21384,,Jonathan,Wright,202,0,0,0,0,2017-55-08,
122,1354042,,Joseph,Ortiz,113,0,0,0,0,2017-47-04,
123,2977430,,Kara,Duran,99,0,0,0,0,2017-33-07,
125,8501903,,Kimberly,Henderson,213,0,0,0,0,2017-00-27,
